x y z strike dip rake shear normal coulomb
(km) (km) (km) (deg) (deg) (deg) (bar) (bar) (bar)
  -70.0000   45.0000  -10.0000   30.0  90.0   180.0    0.0393   -0.0222    0.0304
  -70.0000   50.0000  -10.0000   30.0  90.0   180.0    0.0351   -0.0300    0.0231
  -70.0000   55.0000  -10.0000   30.0  90.0   180.0    0.0302   -0.0364    0.0156
  -70.0000   60.0000  -10.0000   30.0  90.0   180.0    0.0248   -0.0413    0.0083
  -70.0000   65.0000  -10.0000   30.0  90.0   180.0    0.0195   -0.0447    0.0016
  -70.0000   70.0000  -10.0000   30.0  90.0   180.0    0.0143   -0.0469   -0.0044
  -70.0000   75.0000  -10.0000   30.0  90.0   180.0    0.0096   -0.0480   -0.0096
  -70.0000   80.0000  -10.0000   30.0  90.0   180.0    0.0053   -0.0482   -0.0140
  -70.0000   85.0000  -10.0000   30.0  90.0   180.0    0.0015   -0.0476   -0.0175
  -70.0000   90.0000  -10.0000   30.0  90.0   180.0   -0.0017   -0.0465   -0.0203
  -70.0000   95.0000  -10.0000   30.0  90.0   180.0   -0.0044   -0.0449   -0.0223
  -70.0000  100.0000  -10.0000   30.0  90.0   180.0   -0.0066   -0.0431   -0.0238
  -65.0000 -100.0000  -10.0000   30.0  90.0   180.0    0.0231    0.0036    0.0245
  -65.0000  -95.0000  -10.0000   30.0  90.0   180.0    0.0256    0.0025    0.0266
  -65.0000  -90.0000  -10.0000   30.0  90.0   180.0    0.0281    0.0011    0.0286
  -65.0000  -85.0000  -10.0000   30.0  90.0   180.0    0.0306   -0.0007    0.0303
  -65.0000  -80.0000  -10.0000   30.0  90.0   180.0    0.0328   -0.0031    0.0315
